R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 28
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0015
y-axis screen name: cdc13-1_DIL
y-axis libraries: SDLV4_384
y-axis client: DJW
y-axis user: APB
y-axis date: 2013/06/10
y-axis PI: 
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: 
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YGR075C	PRP38	4.63617e-05	0.00502941	-35.08	18.1882	77.9855	5.4117	7.32113	16	16	t-test	E
YPL189W	GUP2	0.0127232	0.122936	-35.0458	33.6536	100.577	9.14412	11.9388	8	8	t-test	E
YIL009C-A	EST3	0.00136511	0.0309462	-35.0346	21.1177	82.2079	3.58257	10.5653	8	8	t-test	E
YPL063W	TIM50	0.019738	0.15532	-35.0195	22.5956	84.3494	9.86742	13.0366	8	8	t-test	E
YNL120C	YNL120C	0.00100587	0.025058	-34.9578	13.9677	71.6278	5.55868	9.24948	8	8	t-test	E
YBR095C	RXT2	8.82226e-08	2.82783e-05	-34.9227	18.3142	77.9397	1.86154	5.85766	18	16	t-test	E
YDR369C	XRS2	0.000165654	0.00894904	-34.8902	12.8868	69.9464	3.57539	8.07426	10	8	t-test	E
YNL171C	YNL171C	0.00252846	0.0471195	-34.8375	22.4661	83.8933	1.88575	11.3552	8	8	t-test	E
YOL038W	PRE6	0.00281538	0.0491992	-34.8311	18.7205	78.4004	4.20918	11.6743	8	8	t-test	E
YOR027W	STI1	0.000688288	0.0197649	-34.7759	13.9386	71.3189	2.0623	9.31183	8	8	t-test	E
YOL012C	HTZ1	0.000261069	0.0108209	-34.746	10.2064	65.811	4.12338	8.23771	8	8	t-test	E
YMR075C-A	YMR075C-A	0.00173728	0.0358492	-34.6301	24.167	86.08	5.08404	10.4449	8	8	t-test	E
YLR438C-A	LSM3	0.000328376	0.0128759	-34.5971	13.2346	70.0264	3.94933	8.52103	8	8	t-test	E
YPR115W	RGC1	0.00935663	0.104136	-34.5747	29.9979	94.5353	6.10187	13.7358	8	8	t-test	E
YML038C	YMD8	0.00981989	0.107061	-34.5012	2.46895	54.125	2.46895	14.4815	8	8	t-test	E
YPR088C	SRP54	0.0102962	0.109095	-34.4072	31.4471	96.4117	6.93863	13.4024	8	8	t-test	E
YKL075C	YKL075C	0.00219751	0.042583	-34.3293	20.8463	80.7779	2.21161	10.9963	8	8	t-test	E
YNL306W	MRPS18	0.0166942	0.14246	-34.2858	27.4681	90.4087	7.53471	14.5914	8	8	t-test	E
YBR170C	NPL4	0.000338389	0.0129765	-34.1848	12.5902	68.4794	3.47406	8.61452	10	8	t-test	E
YNL205C	YNL205C	0.0104629	0.109347	-34.1013	24.0639	85.1549	8.21857	11.868	8	8	t-test	E
YMR209C	YMR209C	0.0684372	0.291286	-34.0695	42.5329	112.147	14.0297	14.2711	8	8	t-test	E
YKR095W	MLP1	0.00356164	0.0572721	-33.9546	11.4808	66.5182	7.81919	7.79201	8	8	t-test	E
YHR197W	RIX1	0.0176926	0.144942	-33.9137	31.3628	95.5659	7.7501	14.4123	8	8	t-test	E
YPR005C	HAL1	0.00717214	0.0872181	-33.9072	21.5962	81.2579	8.39625	9.67438	8	8	t-test	E
YNL012W	SPO1	0.0624404	0.278839	-33.8658	31.1839	95.2339	14.2469	11.7086	8	8	t-test	E
YOL102C	TPT1	0.00231746	0.0440409	-33.8345	21.1071	80.4354	1.41046	10.7891	8	8	t-test	E
YLR010C	TEN1	6.52315e-06	0.0013068	-33.8333	2.14854	52.678	1.47294	7.50847	16	16	t-test	E
YBR135W	CKS1	0.00343001	0.0558206	-33.7885	22.1427	81.8842	5.37358	11.2715	8	8	t-test	E
YCR079W	PTC6	0.0272836	0.185544	-33.6893	32.752	97.2712	10.8791	12.5528	10	8	t-test	E
YMR270C	RRN9	0.012976	0.124033	-33.6769	28.8392	91.5246	4.8042	14.7631	8	8	t-test	E
YOR251C	TUM1	0.000994027	0.0248921	-33.6542	16.8039	73.8715	3.96463	9.63821	8	8	t-test	E
YDR156W	RPA14	0.0105979	0.109774	-33.4747	27.5862	89.3941	7.81148	12.3726	10	8	t-test	E
YOL153C	YOL153C	0.00470992	0.0686222	-33.3329	15.1995	71.0522	7.92885	8.28619	8	8	t-test	E
YNL147W	LSM7	0.00383807	0.0599864	-33.2895	3.51397	53.8809	3.51397	11.7893	8	8	t-test	E
YNL062C	GCD10	0.00755649	0.0894868	-33.195	20.1633	78.1174	7.77549	10.6286	8	8	t-test	E
YJR043C	POL32	8.35301e-05	0.00638342	-32.9635	7.39765	59.0894	3.75154	6.74905	8	8	t-test	E
YOR024W	YOR024W	0.0077661	0.091743	-32.9631	24.7032	84.4245	5.6801	12.6606	8	8	t-test	E
YEL003W	GIM4	0.000134559	0.00808701	-32.88	7.11105	58.5476	4.82395	5.79911	8	8	t-test	E
