R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 36
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 36
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0011
y-axis screen name: pol2-12
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: MGD
y-axis date: 2013/07/08
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YGL042C	YGL042C	2.14438e-05	0.00156312	-24.8482	0	38.5409	0	2.51444	8	6	t-test	E
YOR068C	VAM10	0.000100696	0.00452754	-24.8072	4.08725	44.8167	1.46467	4.592	8	6	t-test	E
YBR246W	RRT2	0.00460582	0.0620688	-24.7785	11.3754	56.0766	5.83049	6.21866	8	6	t-test	E
YBR280C	SAF1	0.00074666	0.0182116	-24.7139	9.23519	52.6567	4.38355	5.12735	8	6	t-test	E
YJL081C	ARP4	0.000184464	0.00682659	-24.6217	3.7865	44.0625	3.7865	3.89146	8	6	t-test	E
YPL205C	YPL205C	5.26932e-06	0.000551102	-24.5658	3.22853	43.1105	2.06798	3.48352	8	6	t-test	E
YFL001W	DEG1	1.28481e-06	0.000199394	-24.4307	5.87299	47.0026	1.49366	2.9762	8	6	t-test	E
YJL124C	LSM1	4.18651e-05	0.00245626	-24.3651	1.3244	39.8458	1.3244	4.00731	8	6	t-test	E
YBR231C	SWC5	2.24504e-05	0.00158836	-24.3465	2.50935	41.6549	0.98296	3.45448	8	6	t-test	E
YOL050C	YOL050C	0.000749511	0.0182116	-24.2216	10.393	53.6891	3.78273	5.87832	8	6	t-test	E
YEL007W	MIT1	0.000212072	0.00763042	-24.1876	0.832881	38.8081	0.449733	4.1157	8	6	t-test	E
YLR335W	NUP2	0.0295428	0.179497	-24.148	16.2913	62.7234	8.54267	6.49974	8	6	t-test	E
YLR410W	VIP1	9.30481e-10	6.39506e-07	-23.961	1.58309	39.6202	0.85414	1.47995	8	6	t-test	E
YNL215W	IES2	0.0052239	0.0676839	-23.9494	15.8617	61.7491	5.67982	6.34435	8	6	t-test	E
YJL090C	DPB11	3.41677e-06	0.000382281	-23.9097	4.32144	43.788	1.14279	2.97502	8	6	t-test	E
YML041C	VPS71	0.00267882	0.0436875	-23.8977	12.271	56.0995	5.36012	1.87145	8	6	t-test	E
YPL100W	ATG21	0.00125411	0.026138	-23.8452	10.3189	52.9904	3.67502	6.45324	8	6	t-test	E
YDL074C	BRE1	3.25424e-07	6.5234e-05	-23.841	0.102614	37.1377	0.0839923	3.41455	16	12	t-test	E
YNL153C	GIM3	0.000329938	0.010237	-23.8156	8.92667	50.785	3.96284	2.4668	8	6	t-test	E
YAL056W	GPB2	0.0120918	0.111185	-23.5834	8.966	50.4857	5.11297	3.56414	4	6	t-test	E
YDL226C	GCS1	0.000337364	0.010237	-23.5455	2.13788	39.8363	1.14118	4.90401	8	6	t-test	E
YNL032W	SIW14	0.00290406	0.0459587	-23.5151	12.6228	56.0517	5.41421	3.18217	8	6	t-test	E
YNL046W	YNL046W	0.00497531	0.0652212	-23.5131	9.01914	50.4592	5.90455	2.17104	8	6	t-test	E
YNL119W	NCS2	0.014334	0.122488	-23.4173	11.678	54.4346	7.25536	3.17534	8	6	t-test	E
YLR143W	DPH6	0.000204099	0.00746948	-23.3676	9.16678	50.4625	3.69352	3.02491	8	6	t-test	E
YJL072C	PSF2	2.17808e-05	0.00156399	-23.3564	4.25289	42.8234	0.971184	3.33083	8	6	t-test	E
YBR103W	SIF2	8.4474e-08	2.2578e-05	-23.2676	1.88637	39.015	0.661141	1.59545	4	6	t-test	E
YJR075W	HOC1	0.0259838	0.168248	-23.208	22.2593	70.5221	7.86392	6.65293	8	6	t-test	E
YPR179C	HDA3	0.000117924	0.00511111	-23.2001	0.336381	36.5063	0.170703	3.37169	8	6	t-test	E
YOR357C	SNX3	0.00204211	0.0361972	-23.0068	7.46178	47.2583	1.95788	6.82891	8	6	t-test	E
YKR072C	SIS2	0.00354326	0.0522902	-22.9467	8.71813	49.1138	5.43696	2.37525	8	6	t-test	E
YIL103W	DPH1	0.00465923	0.0626132	-22.8257	11.1024	52.6242	5.68888	3.63491	8	6	t-test	E
YNL091W	NST1	2.08708e-06	0.000278914	-22.8115	4.80595	42.8361	1.79172	2.93245	8	6	t-test	E
YLL040C	VPS13	0.000351641	0.0102943	-22.8033	6.57735	45.5709	3.83277	3.62726	8	6	t-test	E
YGL194C	HOS2	1.17216e-08	4.33789e-06	-22.6302	3.39745	40.3703	0.894267	1.72045	8	6	t-test	E
YLR384C	IKI3	0.0193631	0.144229	-22.6	15.065	58.4204	7.15118	6.2772	8	6	t-test	E
YOR035C	SHE4	0.00185479	0.0341892	-22.5943	0	35.0449	0	5.84692	8	6	t-test	E
YOR132W	VPS17	0.000821242	0.0193676	-22.4446	5.05375	42.6514	1.58038	5.65265	8	6	t-test	E
YOL139C	CDC33	8.41901e-06	0.00077892	-22.4049	7.68282	46.6676	2.36565	2.93073	8	6	t-test	E
YNL291C	MID1	0.00198562	0.0357783	-22.3509	13.132	55.0357	4.74993	4.43362	8	6	t-test	E
YHR191C	CTF8	1.86625e-06	0.000256529	-22.2981	4.70499	41.8832	1.58286	0.246188	8	6	t-test	E
YBL081W	YBL081W	0.0637027	0.258406	-22.2752	13.7344	55.8527	8.0609	4.31609	4	6	t-test	E
YNL012W	SPO1	0.00977544	0.0976158	-22.1253	19.0728	63.9004	6.2912	4.19876	8	6	t-test	E
YPL101W	ELP4	0.0343077	0.190872	-21.9357	17.7795	61.6002	8.1002	5.7329	8	6	t-test	E
YGR292W	MAL12	0.0304871	0.181302	-21.8367	1.31004	35.9018	0.969502	11.3725	8	6	t-test	E
YDL212W	SHR3	4.07429e-07	7.84056e-05	-21.8071	4.90541	41.4324	0.886034	2.16099	8	6	t-test	E
YGR229C	SMI1	4.65784e-07	8.6188e-05	-21.7939	2.51736	37.708	1.34103	2.42418	8	6	t-test	E
YDR004W	RAD57	0.000151834	0.00611414	-21.7588	3.60619	39.3424	1.27437	4.22439	8	6	t-test	E
YER167W	BCK2	0.00390576	0.0565982	-21.7516	9.86543	49.0397	4.25725	6.68867	8	6	t-test	E
YGL084C	GUP1	0.0310469	0.183262	-21.5817	15.8825	58.1089	7.9519	3.83199	8	6	t-test	E
YLR330W	CHS5	1.44081e-05	0.00113635	-21.4615	2.88144	37.7572	2.34274	1.33177	8	6	t-test	E
YGR125W	YGR125W	0.0252841	0.16732	-21.2826	0	33.0103	0	10.4684	8	6	t-test	E
YHR012W	VPS29	2.92948e-05	0.00185444	-21.1903	0.312307	33.3517	0.312307	2.49159	8	6	t-test	E
YAL002W	VPS8	0.000322525	0.0101963	-21.1734	0	32.8411	0	3.75187	4	6	t-test	E
YLR182W	SWI6	0.0506876	0.229186	-21.0618	4.65465	39.8875	1.53191	12.7936	8	6	t-test	E
YDR121W	DPB4	0.00473114	0.0632265	-21.0355	8.01592	45.0602	5.05553	4.99159	8	6	t-test	E
YOR123C	LEO1	0.0175798	0.138183	-20.9718	13.7213	53.8108	5.5431	8.08844	8	6	t-test	E
YNL106C	INP52	2.92665e-05	0.00185444	-20.9567	0.0104154	32.5211	0.0104154	2.25976	8	6	t-test	E
YJL165C	HAL5	0.01583	0.129288	-20.9445	0	32.4859	0	9.06751	8	6	t-test	E
YGR135W	PRE9	0.00112925	0.0243741	-20.9279	6.96137	43.2578	4.03308	1.22672	8	6	t-test	E
YOR279C	RFM1	0.0527118	0.232231	-20.8923	27.7345	75.4226	7.32924	9.90179	8	6	t-test	E
YPL226W	NEW1	0.0218279	0.153922	-20.8227	14.676	55.0604	6.25665	7.47362	8	6	t-test	E
YMR205C	PFK2	0.0320377	0.184554	-20.8203	0.490633	33.0543	0.490633	10.9731	8	6	t-test	E
YDR013W	PSF1	9.24524e-05	0.00434244	-20.5177	5.26129	39.9845	1.59864	3.97072	8	6	t-test	E
YKL032C	IXR1	0.00605028	0.0732772	-20.441	11.0792	48.8894	5.22193	4.52339	8	6	t-test	E
YJL169W	YJL169W	0.000727537	0.0178948	-20.4407	12.8558	51.6445	3.66189	4.08069	8	6	t-test	E
YDR049W	VMS1	2.71914e-05	0.00179203	-20.3239	0.882406	32.892	0.340944	2.40717	8	6	t-test	E
YDR207C	UME6	9.47737e-05	0.00434244	-20.2639	8.72253	44.9595	2.57324	3.73005	8	6	t-test	E
YER161C	SPT2	0.0047973	0.0637153	-20.1322	9.51859	45.9899	4.2758	6.13272	8	6	t-test	E
YDR159W	SAC3	0.00115281	0.0245473	-20.0032	4.43932	37.9116	1.48057	5.33815	8	6	t-test	E
YPL213W	LEA1	8.85147e-05	0.00422104	-19.9505	0.408655	31.5781	0.269107	2.81956	8	6	t-test	E
YML032C	RAD52	1.56318e-18	3.76023e-15	-19.9367	5.10093	38.8347	1.1661	2.10153	56	42	t-test	E
YKL006W	RPL14A	0.0111258	0.105574	-19.9214	21.5179	64.2745	4.73117	7.18461	8	6	t-test	E
YNL250W	RAD50	3.09644e-14	3.72425e-11	-19.8897	5.79416	39.8371	1.68112	2.11354	48	36	t-test	E
YNL021W	HDA1	0.000280021	0.00911517	-19.8622	0.687487	31.8737	0.389303	3.57239	8	6	t-test	E
YML097C	VPS9	0.0131587	0.115836	-19.7964	0.41772	31.3531	0.41772	8.18902	8	6	t-test	E
YBR174C	YBR174C	0.209359	0.46317	-19.7814	22.2598	65.2081	12.3896	5.28003	4	6	t-test	E
YOR054C	VHS3	0.000270618	0.00910451	-19.7737	10.111	46.3527	2.25037	4.46054	8	6	t-test	E
YGR101W	PCP1	1.40084e-07	3.14243e-05	-19.7691	3.57791	36.2124	1.42354	1.27493	8	6	t-test	E
YCL060C	:::MRC1	0.0511386	0.229299	-19.7233	13.1999	51.0656	7.96097	6.23074	8	6	t-test	E
YMR039C	SUB1	0.0270363	0.171825	-19.7103	8.65797	44.0007	7.06766	1.97783	8	6	t-test	E
YGL173C	XRN1	2.09307e-05	0.0015492	-19.6814	5.43747	38.9607	2.07787	3.12491	8	6	t-test	E
YPL120W	VPS30	0.000756315	0.0182846	-19.6318	0	30.45	0	4.17246	8	6	t-test	E
YML103C	NUP188	0.0021225	0.0369259	-19.4695	9.31187	44.6413	4.20651	1.622	8	6	t-test	E
YLL002W	RTT109	0.00628188	0.0749929	-19.3464	10.2737	45.9423	4.74985	5.21655	8	6	t-test	E
YER173W	RAD24	1.56755e-08	5.38677e-06	-19.308	12.5348	49.3899	2.71074	2.2609	56	42	t-test	E
